[19267.697840] Loading Module that lists the tasks
[19267.697843] UID	PID	PPID	S	PRI	NI	TTY	RSS	CMD
[19267.697945] 1000	1142	1047	S	80	0	tty1	921	dbus-daemon
[19267.697947] 1000	1154	1047	S	80	0	tty1	1068	window-stack-br
[19267.697948] 1000	1170	1047	S	80	0	tty1	1057	gvfsd
[19267.697949] 1000	1174	1047	S	80	0	tty1	3007	bamfdaemon
[19267.697951] 1000	1186	1047	S	80	0	tty1	971	gvfsd-fuse
[19267.697952] 1000	1205	1047	S	80	0	tty1	1286	at-spi-bus-laun
[19267.697953] 1000	1233	1205	S	80	0	tty1	806	dbus-daemon
[19267.697954] 1000	1237	1047	S	80	0	tty1	908	at-spi2-registr
[19267.697956] 1000	1246	1047	S	80	0	tty1	1479	ibus-daemon
[19267.697957] 1000	1263	1246	S	80	0	tty1	1289	ibus-dconf
[19267.697959] 1000	1265	1246	S	80	0	tty1	2422	ibus-ui-gtk3
[19267.697960] 1000	1267	1047	S	80	0	tty1	1256	ibus-x11
[19267.697961] 1000	1287	1047	S	80	0	tty1	379	upstart-dbus-br
[19267.697962] 1000	1290	1047	S	80	0	tty1	296	upstart-dbus-br
[19267.697963] 1000	1291	1047	S	80	0	tty1	340	upstart-file-br
[19267.697964] 1000	1292	1047	S	80	0	tty1	3850	hud-service
[19267.697966] 1000	1294	1047	S	80	0	tty1	3660	unity-settings-
[19267.697967] 1000	1300	1047	S	80	0	tty1	40885	compiz
[19267.697969] 1000	1303	1047	S	80	0	tty1	2532	gnome-session
[19267.697970] 1000	1307	1047	S	80	0	tty1	4383	unity-panel-ser
[19267.697971] 1000	1322	1047	S	80	0	tty1	946	dconf-service
[19267.697972] 1000	1323	1246	S	80	0	tty1	1303	ibus-engine-sim
[19267.697974] 1000	1395	1047	S	80	0	tty1	1499	indicator-messa
[19267.697975] 1000	1396	1047	S	80	0	tty1	1270	indicator-bluet
[19267.697976] 1000	1399	1047	S	80	0	tty1	1495	indicator-power
[19267.697978] 1000	1401	1047	S	80	0	tty1	1577	indicator-datet
[19267.697979] 1000	1404	1047	S	80	0	tty1	1833	indicator-keybo
[19267.697980] 1000	1407	1047	S	80	0	tty1	2057	indicator-sound
[19267.697982] 1000	1411	1047	S	80	0	tty1	1939	indicator-print
[19267.697983] 1000	1414	1047	S	80	0	tty1	1497	indicator-sessi
[19267.697984] 1000	1428	1047	S	80	0	tty1	1342	indicator-appli
[19267.697985] 1000	1449	1047	S	80	0	tty1	1595	evolution-sourc
[19267.697987] 1000	1452	1047	S	69	-11	tty1	753	pulseaudio
[19267.697988] 1000	1491	1303	S	80	0	tty1	1639	polkit-gnome-au
[19267.697990] 1000	1492	1303	S	80	0	tty1	2286	nm-applet
[19267.697991] 1000	1494	1303	S	80	0	tty1	1683	unity-fallback-
[19267.697992] 1000	1496	1303	S	80	0	tty1	9538	nautilus
[19267.697993] 1000	1502	1047	S	80	0	tty1	7094	evolution-calen
[19267.697995] 1000	1518	1047	S	80	0	tty1	1626	gvfs-udisks2-vo
[19267.697996] 0	1523	1	S	80	0	tty1	1943	udisksd
[19267.697998] 1000	1531	1047	S	80	0	tty1	2355	gvfs-afc-volume
[19267.697999] 1000	1539	1047	S	80	0	tty1	980	gvfs-mtp-volume
[19267.698000] 1000	1541	1047	S	80	0	tty1	1191	gconfd-2
[19267.698002] 1000	1546	1047	S	80	0	tty1	1530	gvfs-gphoto2-vo
[19267.698003] 1000	1558	1502	S	80	0	tty1	1614	evolution-calen
[19267.698004] 1000	1568	1502	S	80	0	tty1	1638	evolution-calen
[19267.698006] 1000	1571	1047	S	80	0	tty1	2202	evolution-addre
[19267.698007] 1000	1590	1047	S	80	0	tty1	1712	gvfsd-trash
[19267.698008] 1000	1593	1571	S	80	0	tty1	2245	evolution-addre
[19267.698010] 1000	1618	1047	S	80	0	tty1	1041	gvfsd-metadata
[19267.698011] 1000	1622	1047	S	80	0	tty1	1814	gvfsd-burn
[19267.698012] 1000	1646	1303	S	80	0	tty1	2255	telepathy-indic
[19267.698014] 1000	1655	1047	S	80	0	tty1	2650	mission-control
[19267.698015] 1000	1669	1303	S	80	0	tty1	2338	zeitgeist-datah
[19267.698017] 1000	1675	1047	S	80	0	tty1	1976	zeitgeist-daemo
[19267.698018] 1000	1683	1047	S	80	0	tty1	3147	zeitgeist-fts
[19267.698019] 1000	1730	1303	S	80	0	tty1	4444	update-notifier
[19267.698021] 1000	1754	1047	S	90	10	tty1	7867	update-manager
[19267.698022] 1000	1786	1303	S	80	0	tty1	1543	deja-dup-monito
[19267.698023] 1000	1808	1047	S	80	0	tty1	3190	notify-osd
[19267.698025] 1000	2216	1047	S	80	0	tty1	4311	unity-scope-hom
[19267.698026] 1000	2229	1047	S	80	0	tty1	4291	unity-scope-loa
[19267.698027] 1000	2230	1047	S	80	0	tty1	2805	unity-files-dae
[19267.698029] 1000	2272	1047	S	80	0	tty1	6512	gnome-terminal-
[19267.698030] 1000	2278	2272	S	80	0	tty1	403	gnome-pty-helpe
[19267.698032] 1000	2280	2272	S	80	0	pts2	1103	bash
[19267.698033] 0	2839	2	S	80	0	pts2	1103	kworker/0:0
[19267.698034] 0	2942	564	S	80	0	pts2	1516	dhclient
[19267.698036] 0	3202	2	S	80	0	pts2	1516	kworker/u2:2
[19267.698037] 0	3392	1	S	80	0	pts2	1505	cupsd
[19267.698038] 0	3394	2	S	80	0	pts2	1505	kworker/0:2
[19267.698039] 7	3396	3392	S	80	0	pts2	1174	dbus
[19267.698085] 7	3397	3392	S	80	0	pts2	1209	dbus
[19267.698087] 0	3534	2	S	80	0	pts2	1209	kworker/u2:1
[19267.698088] 0	4791	2	S	80	0	pts2	1209	kworker/u2:0
[19267.698089] 0	5412	2	S	80	0	pts2	1209	kworker/0:1
[19267.698090] 1000	5451	1047	S	80	0	pts2	5911	python3
[19267.698092] 106	5469	1	S	80	0	pts2	292	uuidd
[19267.698093] 1000	5474	1047	S	80	0	pts2	3161	unity-music-dae
[19267.698094] 1000	5523	2272	S	80	0	pts11	1229	bash
[19267.698096] 1000	5550	1047	S	80	0	pts11	3851	gvfsd-http
[19267.698097] 0	5941	5523	S	80	0	pts11	965	sudo
[19267.698098] 0	5942	5941	R	80	0	pts11	389	insmod
[19267.698099] Number of Processes: 157
